11:28:25 | Cadastro Worksite | Inicando o Robo 1º Tentativa
11:28:25 | Cadastro Worksite | Finalizando aplicacao chrome
11:28:26 | Cadastro Worksite | Finalizando aplicacao excel
11:28:26 | Cadastro Worksite | Extraindo dados Config
11:28:27 | Cadastro Worksite | Acessando Sistema Triade
11:28:28 | Cadastro Worksite | Digitando Url http://172.27.212.107/porto.re.emissaocadastro/index-teste.html#/
11:28:51 | Cadastro Worksite | Digitando os Papeis
11:29:21 | Cadastro Worksite | Erro: Cannot find the UI element corresponding to this selector: <webctrl name='inputPerfis' tag='INPUT' />
11:29:21 | Cadastro Worksite | Falha Acesso Sistema Triade
11:29:21 | Cadastro Worksite | Falha ao iniciar o Robo
11:29:21 | Cadastro Worksite | Inicando o Robo 2º Tentativa
11:29:21 | Cadastro Worksite | Finalizando aplicacao chrome
11:29:21 | Cadastro Worksite | Finalizando aplicacao excel
11:29:21 | Cadastro Worksite | Extraindo dados Config
11:29:22 | Cadastro Worksite | Acessando Sistema Triade
11:29:23 | Cadastro Worksite | Digitando Url http://172.27.212.107/porto.re.emissaocadastro/index-teste.html#/
11:29:23 | Cadastro Worksite | Digitando os Papeis
11:29:54 | Cadastro Worksite | Erro: Cannot find the UI element corresponding to this selector: <webctrl name='inputPerfis' tag='INPUT' />
11:29:54 | Cadastro Worksite | Falha Acesso Sistema Triade
11:29:54 | Cadastro Worksite | Falha ao iniciar o Robo
11:29:54 | Cadastro Worksite | Inicando o Robo 3º Tentativa
11:29:54 | Cadastro Worksite | Finalizando aplicacao chrome
11:29:54 | Cadastro Worksite | Finalizando aplicacao excel
11:29:54 | Cadastro Worksite | Extraindo dados Config
11:29:55 | Cadastro Worksite | Acessando Sistema Triade
11:29:56 | Cadastro Worksite | Digitando Url http://172.27.212.107/porto.re.emissaocadastro/index-teste.html#/
11:29:58 | Cadastro Worksite | Digitando os Papeis
11:30:28 | Cadastro Worksite | Erro: Cannot find the UI element corresponding to this selector: <webctrl name='inputPerfis' tag='INPUT' />
11:30:28 | Cadastro Worksite | Falha Acesso Sistema Triade
11:30:28 | Cadastro Worksite | Falha ao iniciar o Robo
11:30:28 | Cadastro Worksite | Enviando email erro
11:30:28 | Cadastro Worksite | Capturando Tela de Erro
11:30:28 | Cadastro Worksite | Captura de tela criado: CapturaTela_29092020_113028.png
11:30:38 | Cadastro Worksite | Email erro enviado
11:30:38 | Cadastro Worksite | Finalizando todas as aplicacoes
11:30:38 | Cadastro Worksite | Finalizando aplicacao chrome
11:30:38 | Cadastro Worksite | Finalizando aplicacao excel
11:30:38 | Cadastro Worksite | Robo Finalizado


12:25:39 | Cadastro Worksite | Inicando o Robo 1º Tentativa
12:25:39 | Cadastro Worksite | Finalizando aplicacao chrome
12:25:39 | Cadastro Worksite | Finalizando aplicacao excel
12:25:39 | Cadastro Worksite | Extraindo dados Config
12:25:39 | Cadastro Worksite | Finalizado extracao dados Config
12:25:40 | Cadastro Worksite | Criando BaseDadosWorksite
12:25:41 | Cadastro Worksite | Finalizado criacao BaseDadosWorksite
12:25:41 | Cadastro Worksite | Acessando Sistema Triade
12:25:42 | Cadastro Worksite | Digitando Url http://172.27.212.107/porto.re.emissaocadastro/index-teste.html#/
